Wavenumber,Sample_1,Sample_2,Sample_3
400,1250.5,1180.2,1320.8
450,1380.2,1290.5,1450.1
500,1520.8,1430.1,1580.6
550,1890.3,1750.8,1920.4
600,2100.5,1980.2,2150.9
650,1750.2,1640.5,1800.3
700,1430.8,1320.1,1480.6
750,1200.5,1100.8,1250.2
800,980.3,890.5,1020.8
850,850.8,760.2,900.4
900,720.5,640.8,770.1
950,610.2,530.5,660.8
1000,540.8,460.2,590.4
1050,890.5,800.8,940.1
1100,1340.2,1250.5,1390.8
1150,1780.8,1690.2,1830.4
1200,2250.5,2160.8,2300.1
1250,2890.2,2800.5,2940.8
1300,3120.8,3030.2,3170.4
1350,2750.5,2660.8,2800.1
1400,2100.2,2010.5,2150.8
1450,1650.8,1560.2,1700.4
1500,1280.5,1190.8,1330.1
1550,980.2,890.5,1030.8
1600,820.8,730.2,870.4
1650,690.5,600.8,740.1
1700,580.2,490.5,630.8
1750,490.8,400.2,540.4
1800,420.5,330.8,470.1
1850,360.2,270.5,410.8
